params_index, n_variables, n_total_environments, sparsity, sample_size, dag_density, reps, data_simulator, dag_simulator, Method, Soft, Number of environments, Rep, Number of possible DAGs, MEC size, MEC total edges, MEC unoriented edges, Precision, Recall
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 2, 10, 1, 2, 1, 2, 1.0, 1.0
1, 4, 2, 1, None, 0.3, 20, None, er, PC (pool all), False, 1, 11, 4, 4, 3, 6, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 1, 11, 4, 4, 3, 6, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, PC (pool all), False, 2, 11, 1, 4, 3, 6, 1.0, 1.0
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 2, 11, 1, 4, 3, 6, 1.0, 1.0
1, 4, 2, 1, None, 0.3, 20, None, er, PC (pool all), False, 1, 12, 4, 4, 2, 4, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 1, 12, 4, 4, 2, 4, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, PC (pool all), False, 2, 12, 2, 4, 2, 4, 1.0, 0.5
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 2, 12, 2, 4, 2, 4, 1.0, 0.5
1, 4, 2, 1, None, 0.3, 20, None, er, PC (pool all), False, 1, 13, 4, 4, 3, 6, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 1, 13, 4, 4, 3, 6, 0, 0.0
1, 4, 2, 1, None, 0.3, 20, None, er, PC (pool all), False, 2, 13, 2, 4, 3, 6, 1.0, 0.6666666666666666
1, 4, 2, 1, None, 0.3, 20, None, er, Min changes (oracle), False, 2, 13, 2, 4, 3, 6, 1.0, 0.6666666666666666
1, 4, 2, 1, None, 0.3, 20, None, er, PC (pool all), False, 1, 14, 4, 4, 3, 6, 0, 0.0
