params_index, test, test_kwargs, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, intervention_targets, n_samples, rep, dag, X1, X2
5, fisherz, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 3, XY, 0.751, 0.0
5, fisherz, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 3, YX, 0.372, 0.657
5, fisherz, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 4, XY, 0.961, 0.0
5, fisherz, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 4, YX, 0.296, 0.2
5, fisherz, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 5, XY, 0.879, 0.0
5, fisherz, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 5, YX, 0.308, 0.603
5, fisherz, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 6, XY, 0.585, 0.0
5, fisherz, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 6, YX, 0.238, 0.195
5, fisherz, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 7, XY, 0.099, 0.0
5, fisherz, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 7, YX, 0.582, 0.456
5, fisherz, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 8, XY, 0.827, 0.001
5, fisherz, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 8, YX, 0.383, 0.554
5, fisherz, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 9, XY, 0.79, 0.0
5, fisherz, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 9, YX, 0.41, 0.076
6, kci, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 0, XY, 0.0, 0.0
6, kci, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 0, YX, 0.0, 0.179
6, kci, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 1, XY, 0.0, 0.0
6, kci, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 1, YX, 0.0, 0.218
6, kci, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 2, XY, 0.0, 0.004
6, kci, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 2, YX, 0.0, 0.408
6, kci, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 3, XY, 0.0, 0.0
6, kci, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 3, YX, 0.0, 0.928
6, kci, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 4, XY, 0.0, 0.001
6, kci, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 4, YX, 0.0, 0.696
6, kci, {}, id, 2, soft, additive, 1, 0, [None,0], 200, 5, XY, 0.0, 0.001
