params_index, test, test_kwargs, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, intervention_targets, n_samples, rep, dag, X1, X2
5, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 0, XY, 0.178, 0.0
5, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 0, YX, 1.0, 0.0
5, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 1, XY, 0.088, 0.001
5, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 1, YX, 1.0, 0.001
5, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 2, XY, 0.006, 0.01
5, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 2, YX, 0.433, 0.0
5, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 3, XY, 0.221, 0.0
5, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 3, YX, 0.372, 0.003
5, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 4, XY, 0.466, 0.0
5, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 4, YX, 0.296, 0.001
5, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 5, XY, 0.009, 0.0
5, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 5, YX, 0.308, 0.001
5, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 6, XY, 0.03, 0.0
5, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 6, YX, 0.238, 0.0
5, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,1], 200, 7, XY, 0.112, 0.0
