Params, Params, Params, Params, Params, Params, Params, Params, Params, Params, Params, XY, XY, YX, YX
params_index, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, pre_intervention, intervention_targets, n_samples, rep, X1, X2, X1, X2
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 19, 0.01, 0.0, 0.0, 0.149
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 20, 0.01, 0.0, 0.0, 0.495
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 21, 0.01, 0.0, 0.0, 0.535
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 22, 0.01, 0.0, 0.0, 0.941
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 23, 0.01, 0.0, 0.0, 0.891
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 24, 0.01, 0.0, 0.0, 0.713
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 25, 0.01, 0.0, 0.0, 0.881
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 26, 0.01, 0.0, 0.0, 0.911
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 27, 0.01, 0.0, 0.0, 0.832
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 28, 0.01, 0.0, 0.0, 0.406
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 29, 0.01, 0.0, 0.0, 0.95
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 30, 0.01, 0.0, 0.0, 0.188
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 31, 0.01, 0.0, 0.0, 0.455
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 32, 0.01, 0.0, 0.0, 0.475
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 33, 0.01, 0.0, 0.0, 0.267
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 34, 0.01, 0.0, 0.0, 0.198
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 35, 0.01, 0.0, 0.0, 0.822
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 36, 0.01, 0.0, 0.0, 0.822
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 37, 0.01, 0.0, 0.0, 0.376
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 38, 0.01, 0.0, 0.0, 0.208
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 39, 0.01, 0.0, 0.0, 0.624
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 0, 0.653, 0.0, 1.0, 0.01
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 1, 0.455, 0.0, 1.0, 0.01
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 2, 0.257, 0.0, 0.367, 0.01
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 3, 0.673, 0.0, 0.024, 0.02
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 4, 0.228, 0.0, 1.0, 0.01
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 5, 0.03, 0.0, 0.396, 0.01
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 6, 0.436, 0.0, 0.062, 0.01
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 7, 0.644, 0.0, 0.097, 0.01
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 8, 0.168, 0.0, 0.381, 0.01
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 9, 0.426, 0.0, 1.0, 0.01
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 10, 0.069, 0.0, 0.24, 0.01
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 11, 0.822, 0.0, 0.235, 0.02
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 12, 0.297, 0.0, 0.022, 0.01
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 13, 0.198, 0.0, 0.643, 0.01
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 14, 0.663, 0.0, 1.0, 0.02
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 15, 0.485, 0.0, 1.0, 0.01
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 16, 0.673, 0.0, 0.347, 0.01
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 17, 0.683, 0.0, 0.07, 0.02
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 18, 0.653, 0.0, 0.114, 0.01
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 19, 0.911, 0.0, 0.465, 0.01
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 20, 0.307, 0.0, 0.435, 0.01
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 21, 0.574, 0.0, 1.0, 0.01
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 22, 0.297, 0.0, 0.368, 0.01
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 23, 0.158, 0.0, 1.0, 0.01
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 24, 0.168, 0.0, 0.16, 0.02
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 25, 0.723, 0.0, 0.368, 0.01
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 26, 0.158, 0.0, 1.0, 0.01
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 27, 0.762, 0.0, 0.385, 0.01
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 28, 0.178, 0.0, 0.253, 0.02
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 29, 0.277, 0.0, 0.275, 0.01
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 30, 0.713, 0.0, 1.0, 0.01
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 31, 0.208, 0.0, 1.0, 0.01
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 32, 0.267, 0.0, 0.068, 0.01
1, sqrt, 100, soft, additive, 2, 0, False, [None,1], 50, 33, 0.129, 0.0, 0.029, 0.01
