Params, Params, Params, Params, Params, Params, Params, Params, Params, Params, Params, XY, XY, YX, YX
params_index, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, pre_intervention, intervention_targets, n_samples, rep, X1, X2, X1, X2
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 18, 0.584, 0.0, 0.294, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 19, 0.337, 0.0, 1.0, 0.05
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 20, 0.614, 0.005, 0.604, 0.059
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 21, 0.495, 0.0, 0.298, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 22, 0.822, 0.0, 0.658, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 23, 0.069, 0.0, 0.229, 0.04
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 24, 0.228, 0.0, 1.0, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 25, 0.168, 0.0, 1.0, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 26, 0.168, 0.002, 1.0, 0.02
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 27, 0.178, 0.0, 1.0, 0.02
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 28, 0.525, 0.0, 0.27, 0.02
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 29, 0.574, 0.002, 0.078, 0.02
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 30, 0.208, 0.0, 0.465, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 31, 0.287, 0.0, 1.0, 0.02
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 32, 0.188, 0.0, 0.065, 0.04
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 33, 0.089, 0.0, 0.008, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 34, 0.129, 0.0, 0.653, 0.04
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 35, 0.198, 0.0, 0.693, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 36, 0.693, 0.0, 1.0, 0.03
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 37, 0.416, 0.0, 0.197, 0.069
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 38, 0.287, 0.0, 0.449, 0.02
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 39, 0.158, 0.0, 1.0, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 200, 0, 0.317, 0.0, 0.144, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 200, 1, 0.347, 0.0, 1.0, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 200, 2, 0.069, 0.0, 0.096, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 200, 3, 0.634, 0.0, 0.358, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 200, 4, 0.307, 0.0, 0.03, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 200, 5, 0.396, 0.0, 1.0, 0.01
