Params, Params, Params, Params, XY, XY, YX, YX
params_index, intervention_targets, n_samples, rep, X1, X2, X1, X2
2, [None,None], 300, 3, 0.96, 0.224, 1.0, 0.752
2, [None,None], 300, 4, 0.307, 0.253, 0.129, 0.208
2, [None,None], 300, 5, 0.851, 1.0, 0.845, 0.386
2, [None,None], 300, 6, 0.376, 0.298, 0.142, 0.881
2, [None,None], 300, 7, 0.495, 0.167, 0.288, 0.594
2, [None,None], 300, 8, 0.584, 0.614, 1.0, 0.05
2, [None,None], 300, 9, 0.129, 0.689, 1.0, 0.564
2, [None,None], 300, 10, 0.901, 0.368, 0.372, 0.366
2, [None,None], 300, 11, 0.277, 0.179, 0.473, 0.782
2, [None,None], 300, 12, 0.515, 0.075, 0.038, 0.644
2, [None,None], 300, 13, 0.168, 0.769, 0.274, 0.634
2, [None,None], 300, 14, 0.614, 0.679, 0.529, 0.762
2, [None,None], 300, 15, 0.545, 1.0, 1.0, 0.792
2, [None,None], 300, 16, 0.653, 0.712, 0.529, 0.733
2, [None,None], 300, 17, 0.158, 0.55, 0.101, 0.861
2, [None,None], 300, 18, 0.921, 1.0, 1.0, 0.198
2, [None,None], 300, 19, 0.911, 0.409, 0.157, 0.673
3, [0,1], 50, 0, 0.436, 0.0, 0.026, 0.01
3, [0,1], 50, 1, 0.307, 0.143, 0.045, 0.663
3, [0,1], 50, 2, 0.01, 0.0, 0.0, 0.554
3, [0,1], 50, 3, 0.426, 0.0, 0.0, 0.752
3, [0,1], 50, 4, 0.584, 0.0, 0.0, 0.01
3, [0,1], 50, 5, 0.624, 0.001, 0.0, 0.218
3, [0,1], 50, 6, 0.03, 0.205, 0.019, 0.04
3, [0,1], 50, 7, 0.01, 0.116, 0.001, 0.03
3, [0,1], 50, 8, 0.812, 0.0, 0.009, 0.03
3, [0,1], 50, 9, 0.05, 0.009, 0.0, 0.277
3, [0,1], 50, 10, 0.05, 0.0, 0.0, 0.109
3, [0,1], 50, 11, 0.109, 0.542, 0.469, 0.03
3, [0,1], 50, 12, 0.02, 0.028, 0.0, 0.129
3, [0,1], 50, 13, 0.564, 0.0, 0.122, 0.089
3, [0,1], 50, 14, 0.703, 0.0, 0.723, 0.01
