Params, Params, Params, Params, DAG-1, DAG-1, DAG-1, DAG-5, DAG-5, DAG-5, DAG-7, DAG-7, DAG-7, DAG-17, DAG-17, DAG-17, DAG-19, DAG-19, DAG-19, DAG-23, DAG-23, DAG-23
params_index, intervention_targets, n_samples, rep, X1, X2, X3, X1, X2, X3, X1, X2, X3, X1, X2, X3, X1, X2, X3, X1, X2, X3
1, [None,1], 50, 11, 0.181, 0.02, 0.079, 0.792, 0.01, 0.143, 0.181, 0.01, 0.446, 0.05, 0.0, 0.04, 0.139, 0.0, 0.059, 0.03, 0.01, 0.143
1, [None,1], 50, 12, 0.69, 0.01, 0.842, 0.634, 0.446, 0.0, 0.69, 0.554, 0.01, 0.495, 0.0, 0.386, 0.059, 0.0, 0.851, 0.495, 0.455, 0.0
1, [None,1], 50, 13, 1.0, 0.01, 0.158, 0.376, 0.02, 0.132, 1.0, 0.02, 0.05, 0.05, 0.073, 0.366, 0.277, 0.073, 0.188, 0.02, 0.604, 0.132
1, [None,1], 50, 14, 0.708, 0.01, 0.02, 0.01, 0.01, 0.005, 0.708, 0.01, 0.02, 0.01, 0.0, 0.059, 0.01, 0.0, 0.02, 0.01, 0.03, 0.005
1, [None,1], 50, 15, 1.0, 0.01, 0.525, 0.99, 0.01, 0.143, 1.0, 0.01, 0.436, 0.871, 0.0, 0.614, 0.842, 0.0, 0.495, 0.921, 0.03, 0.143
1, [None,1], 50, 16, 1.0, 0.01, 0.436, 0.851, 0.01, 0.001, 1.0, 0.01, 0.059, 0.465, 0.0, 0.683, 0.257, 0.0, 0.495, 0.485, 0.079, 0.001
1, [None,1], 50, 17, 0.17, 0.01, 0.426, 0.554, 0.02, 0.074, 0.17, 0.02, 0.168, 0.762, 0.0, 0.644, 0.257, 0.0, 0.465, 0.634, 0.04, 0.074
1, [None,1], 50, 18, 0.088, 0.01, 0.119, 0.663, 0.01, 0.003, 0.088, 0.01, 0.099, 0.01, 0.0, 0.713, 0.178, 0.0, 0.198, 0.01, 0.069, 0.003
1, [None,1], 50, 19, 1.0, 0.01, 0.515, 0.079, 0.762, 0.0, 1.0, 0.851, 0.01, 0.079, 0.0, 0.653, 0.079, 0.0, 0.574, 0.059, 0.802, 0.0
1, [None,1], 100, 0, 1.0, 0.01, 0.901, 0.574, 0.01, 0.0, 1.0, 0.01, 0.01, 0.02, 0.0, 0.228, 0.109, 0.0, 0.802, 0.059, 0.04, 0.0
